rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id,duration_sec
1,"BAILE INoLVIDABLE
Bad Bunny",1,1.0,60,371573,BAILE INoLVIDABLE,Bad Bunny,367725.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,2lTm559tuIvatlT1u0JYG2,368
2,"EoO
Bad Bunny",2,2.0,60,334886,EoO,Bad Bunny,204768.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,6J5kc12BW5HuP3d7C3vvx8,205
3,"DtMF
Bad Bunny",1,3.0,60,330906,DtMF,Bad Bunny,237117.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,3sK8wGT43QFpWrvNQsrQya,237
4,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,5.0,10,329527,LA VILLA,"Ryan Castro, Kapo, Gangsta",192111.0,True,False,2025-10-23,7j6DKwmjbxvpQO8h914uEz,2ZyrAym0sRLwt4PhGotHuI,192
5,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,8.0,22,289781,Cuando No Era Cantante,"El Bogueto, Yung Beef",327488.0,True,False,2025-12-10,3S9Hg7sRKhmtWunFZ2yAYP,2pbSCYzxrG0wa6qcj8IyiE,327
6,"no tiene sentido
Beéle",1,9.0,41,288618,no tiene sentido,Beéle,158036.0,False,False,2025-05-15,7a0XAaPaK2aDSqa8p3QnC7,1HEwEN64NjgTaHmo7LfkX8,158
7,"NUEVAYoL
Bad Bunny",3,4.0,60,266580,NUEVAYoL,Bad Bunny,183685.0,False,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,5TFD2bmFKGhoCRbX61nXY5,184
8,"COQUETA
Fuerza Regida, Grupo Frontera",6,11.0,47,260191,COQUETA,"Fuerza Regida, Grupo Frontera",241648.0,False,False,2024-12-19,0ys2OFYzWYB5hRDLCsBqxt,1PREzVLuDT6PSE9sej4wnV,242
9,"VOY A LLeVARTE PA PR
Bad Bunny",3,6.0,60,257650,VOY A LLeVARTE PA PR,Bad Bunny,156364.0,True,False,2025-01-05,4q3ewBCX7sLwd24euuV69X,59D4DOkspUbWyMmbAPQkxZ,156
10,"LA CANCIÓN
J Balvin, Bad Bunny",2,7.0,348,255693,LA CANCIÓN,"J Balvin, Bad Bunny",242573.0,False,False,2019-06-28,1vyhD5VmyZ7KMfW5gqLgo5,0fea68AdmYNygeTGI4RC18,243
11,"Dardos
Romeo Santos, Prince Royce",4,14.0,13,254591,Dardos,"Romeo Santos, Prince Royce",243070.0,False,False,2025-11-28,5lwmRuXgjX8xIwlnauTZIP,5SudOD9R1Of6CsJVWZy6CQ,243
12,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,13.0,53,254053,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",150001.0,True,False,2025-02-19,5uwa6tAMMfNbBFIHiI6NV4,6iOndD4OFo7GkaDypWQIou,150
13,"TU VAS SIN (fav)
Rels B",1,16.0,35,246842,TU VAS SIN (fav),Rels B,110495.0,False,False,2025-06-20,2IMZYfNi21MGqxopj9fWx8,6uiQ0DqbXTBc8tl0AUKZkR,110
14,"mi refe
Beéle, Ovy On The Drums",3,18.0,63,232863,mi refe,"Beéle, Ovy On The Drums",159404.0,False,False,2025-05-15,7a0XAaPaK2aDSqa8p3QnC7,4zhk2RS2EZODmBW6il55Qj,159
