rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Rein Me In (with Olivia Dean)
Sam Fender, Olivia Dean",1,2.0,36,499244,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean"
2,"iloveitiloveitiloveit
Bella Kay",2,15.0,5,483705,iloveitiloveitiloveit,Bella Kay
3,"Man I Need
Olivia Dean",1,1.0,28,461774,Man I Need,Olivia Dean
4,"Homewrecker
sombr",4,5.0,3,331713,Homewrecker,sombr
5,"Killeagh
Kingfishr",1,3.0,60,330562,Killeagh,Kingfishr
6,"So Easy (To Fall In Love)
Olivia Dean",6,6.0,22,299821,So Easy (To Fall In Love),Olivia Dean
7,"WHERE IS MY HUSBAND!
RAYE",3,7.0,23,266578,WHERE IS MY HUSBAND!,RAYE
8,"Raindance (feat. Tems)
Dave, Tems",5,10.0,18,254553,Raindance (feat. Tems),"Dave, Tems"
9,"End of Beginning
Djo",2,9.0,16,251414,End of Beginning,Djo
10,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",10,22.0,9,250013,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
11,"Lush Life
Zara Larsson",8,8.0,18,237056,Lush Life,Zara Larsson
12,"The Fate of Ophelia
Taylor Swift",1,11.0,21,236804,The Fate of Ophelia,Taylor Swift
13,"DtMF
Bad Bunny",2,4.0,4,234829,DtMF,Bad Bunny
14,"Nice To Each Other
Olivia Dean",6,14.0,38,233895,Nice To Each Other,Olivia Dean
15,"12 to 12
sombr",3,13.0,31,232335,12 to 12,sombr
16,"Die On This Hill
SIENNA SPIRO",11,16.0,16,231463,Die On This Hill,SIENNA SPIRO
17,"The Great Divide
Noah Kahan",2,12.0,4,222256,The Great Divide,Noah Kahan
18,"No Broke Boys
Disco Lines, Tinashe",2,17.0,38,204239,No Broke Boys,"Disco Lines, Tinashe"
19,"Ok Love You Bye
Olivia Dean",19,20.0,27,198636,Ok Love You Bye,Olivia Dean
20,"Share The House
Ewan McVicar",20,23.0,2,198043,Share The House,Ewan McVicar
21,"Diamonds & Roses
Kingfishr",5,19.0,40,192876,Diamonds & Roses,Kingfishr
